workerid,proliferate.condition,internal_node_id,response,response_0,response_1,response_2,response_3,rt,slider_0,slider_1,slider_2,slider_3,slider_start,stimulus,success,time_elapsed,trial_index,trial_type,error,scale_value
11,Condition 1,0.0-5.0-0.0,,75,0,0,25,24054,It is warm,It is hot,It is scalding,<em>Something else</em>,0,"<div><img src=""./visual stimuli-exp/temperature/10degree.png"" height = ""450""></div><p>How likely do you think it is that the waiter will respond with each of the utterances below?</p>",,82906,5,html-multi-slider-response,,1
11,Condition 1,0.0-5.0-0.1,,75,1,1,23,30749,It is warm,It is hot,It is scalding,<em>Something else</em>,0,"<div><img src=""./visual stimuli-exp/temperature/50degree.png"" height = ""450""></div><p>How likely do you think it is that the waiter will respond with each of the utterances below?</p>",,113657,6,html-multi-slider-response,,5
11,Condition 1,0.0-5.0-0.2,,78,1,1,20,23543,It is warm,It is hot,It is scalding,<em>Something else</em>,0,"<div><img src=""./visual stimuli-exp/temperature/90degree.png"" height = ""450""></div><p>How likely do you think it is that the waiter will respond with each of the utterances below?</p>",,137201,7,html-multi-slider-response,,9
11,Condition 1,0.0-5.0-0.3,,78,1,1,20,33359,It is warm,It is hot,It is scalding,<em>Something else</em>,0,"<div><img src=""./visual stimuli-exp/temperature/30degree.png"" height = ""450""></div><p>How likely do you think it is that the waiter will respond with each of the utterances below?</p>",,170561,8,html-multi-slider-response,,3
11,Condition 1,0.0-5.0-0.4,,80,0,0,20,22638,It is warm,It is hot,It is scalding,<em>Something else</em>,0,"<div><img src=""./visual stimuli-exp/temperature/40degree.png"" height = ""450""></div><p>How likely do you think it is that the waiter will respond with each of the utterances below?</p>",,193201,9,html-multi-slider-response,,4
11,Condition 1,0.0-5.0-0.5,,10,80,0,10,25831,It is warm,It is hot,It is scalding,<em>Something else</em>,0,"<div><img src=""./visual stimuli-exp/temperature/70degree.png"" height = ""450""></div><p>How likely do you think it is that the waiter will respond with each of the utterances below?</p>",,219034,10,html-multi-slider-response,,7
11,Condition 1,0.0-5.0-0.6,,10,80,0,10,20087,It is warm,It is hot,It is scalding,<em>Something else</em>,0,"<div><img src=""./visual stimuli-exp/temperature/60degree.png"" height = ""450""></div><p>How likely do you think it is that the waiter will respond with each of the utterances below?</p>",,239121,11,html-multi-slider-response,,6
11,Condition 1,0.0-5.0-0.7,,80,0,0,20,18079,It is warm,It is hot,It is scalding,<em>Something else</em>,0,"<div><img src=""./visual stimuli-exp/temperature/20degree.png"" height = ""450""></div><p>How likely do you think it is that the waiter will respond with each of the utterances below?</p>",,257201,12,html-multi-slider-response,,2
11,Condition 1,0.0-5.0-0.8,,0,90,0,10,16775,It is warm,It is hot,It is scalding,<em>Something else</em>,0,"<div><img src=""./visual stimuli-exp/temperature/80degree.png"" height = ""450""></div><p>How likely do you think it is that the waiter will respond with each of the utterances below?</p>",,273977,13,html-multi-slider-response,,8
11,Condition 1,0.0-5.0-0.9,,10,80,0,10,21389,It is warm,It is hot,It is scalding,<em>Something else</em>,0,"<div><img src=""./visual stimuli-exp/temperature/70degree.png"" height = ""450""></div><p>How likely do you think it is that the waiter will respond with each of the utterances below?</p>",,295369,14,html-multi-slider-response,,7
