workerid,proliferate.condition,internal_node_id,response,response_0,response_1,response_2,response_3,response_4,response_5,response_6,response_7,response_8,rt,stimulus,success,target_image_0,target_image_1,target_image_2,target_image_3,target_image_4,target_image_5,target_image_6,target_image_7,target_image_8,time_elapsed,trial_index,trial_type,error,scale_value
47,Condition 1,0.0-5.0-0.0,,0,0,0,0,0,0,0,4,6,23423,"<div><img src=""./visual stimuli-exp/temperature/visualized_temperature_context/visualized_scalding.png"" height = ""270""></div><p style=""margin: 8px 0px;"">Which thermometer do you think is showing the temperature of the water in the cup? Use the ""+"" and ""&ndash;"" buttons to distribute 10 coins across the likely thermometers.</p>",,./visual stimuli-exp/temperature/adjusted_temperature/10.png,./visual stimuli-exp/temperature/adjusted_temperature/20.png,./visual stimuli-exp/temperature/adjusted_temperature/30.png,./visual stimuli-exp/temperature/adjusted_temperature/40.png,./visual stimuli-exp/temperature/adjusted_temperature/50.png,./visual stimuli-exp/temperature/adjusted_temperature/60.png,./visual stimuli-exp/temperature/adjusted_temperature/70.png,./visual stimuli-exp/temperature/adjusted_temperature/80.png,./visual stimuli-exp/temperature/adjusted_temperature/90.png,68722,5,html-coin-betting-response,,scalding
47,Condition 1,0.0-5.0-0.1,,0,0,0,0,3,7,0,0,0,9998,"<div><img src=""./visual stimuli-exp/temperature/visualized_temperature_context/visualized_hot.png"" height = ""270""></div><p style=""margin: 8px 0px;"">Which thermometer do you think is showing the temperature of the water in the cup? Use the ""+"" and ""&ndash;"" buttons to distribute 10 coins across the likely thermometers.</p>",,./visual stimuli-exp/temperature/adjusted_temperature/10.png,./visual stimuli-exp/temperature/adjusted_temperature/20.png,./visual stimuli-exp/temperature/adjusted_temperature/30.png,./visual stimuli-exp/temperature/adjusted_temperature/40.png,./visual stimuli-exp/temperature/adjusted_temperature/50.png,./visual stimuli-exp/temperature/adjusted_temperature/60.png,./visual stimuli-exp/temperature/adjusted_temperature/70.png,./visual stimuli-exp/temperature/adjusted_temperature/80.png,./visual stimuli-exp/temperature/adjusted_temperature/90.png,78722,6,html-coin-betting-response,,hot
47,Condition 1,0.0-5.0-0.2,,0,0,0,7,3,0,0,0,0,9650,"<div><img src=""./visual stimuli-exp/temperature/visualized_temperature_context/visualized_warm.png"" height = ""270""></div><p style=""margin: 8px 0px;"">Which thermometer do you think is showing the temperature of the water in the cup? Use the ""+"" and ""&ndash;"" buttons to distribute 10 coins across the likely thermometers.</p>",,./visual stimuli-exp/temperature/adjusted_temperature/10.png,./visual stimuli-exp/temperature/adjusted_temperature/20.png,./visual stimuli-exp/temperature/adjusted_temperature/30.png,./visual stimuli-exp/temperature/adjusted_temperature/40.png,./visual stimuli-exp/temperature/adjusted_temperature/50.png,./visual stimuli-exp/temperature/adjusted_temperature/60.png,./visual stimuli-exp/temperature/adjusted_temperature/70.png,./visual stimuli-exp/temperature/adjusted_temperature/80.png,./visual stimuli-exp/temperature/adjusted_temperature/90.png,88374,7,html-coin-betting-response,,warm
47,Condition 1,0.0-5.0-0.3,,0,0,0,0,0,0,0,3,7,5468,"<div><img src=""./visual stimuli-exp/temperature/visualized_temperature_context/visualized_scalding.png"" height = ""270""></div><p style=""margin: 8px 0px;"">Which thermometer do you think is showing the temperature of the water in the cup? Use the ""+"" and ""&ndash;"" buttons to distribute 10 coins across the likely thermometers.</p>",,./visual stimuli-exp/temperature/adjusted_temperature/10.png,./visual stimuli-exp/temperature/adjusted_temperature/20.png,./visual stimuli-exp/temperature/adjusted_temperature/30.png,./visual stimuli-exp/temperature/adjusted_temperature/40.png,./visual stimuli-exp/temperature/adjusted_temperature/50.png,./visual stimuli-exp/temperature/adjusted_temperature/60.png,./visual stimuli-exp/temperature/adjusted_temperature/70.png,./visual stimuli-exp/temperature/adjusted_temperature/80.png,./visual stimuli-exp/temperature/adjusted_temperature/90.png,93843,8,html-coin-betting-response,,scalding
47,Condition 1,0.0-5.0-0.4,,0,0,0,0,2,4,4,0,0,10763,"<div><img src=""./visual stimuli-exp/temperature/visualized_temperature_context/visualized_hot.png"" height = ""270""></div><p style=""margin: 8px 0px;"">Which thermometer do you think is showing the temperature of the water in the cup? Use the ""+"" and ""&ndash;"" buttons to distribute 10 coins across the likely thermometers.</p>",,./visual stimuli-exp/temperature/adjusted_temperature/10.png,./visual stimuli-exp/temperature/adjusted_temperature/20.png,./visual stimuli-exp/temperature/adjusted_temperature/30.png,./visual stimuli-exp/temperature/adjusted_temperature/40.png,./visual stimuli-exp/temperature/adjusted_temperature/50.png,./visual stimuli-exp/temperature/adjusted_temperature/60.png,./visual stimuli-exp/temperature/adjusted_temperature/70.png,./visual stimuli-exp/temperature/adjusted_temperature/80.png,./visual stimuli-exp/temperature/adjusted_temperature/90.png,104608,9,html-coin-betting-response,,hot
47,Condition 1,0.0-5.0-0.5,,0,0,5,4,1,0,0,0,0,11343,"<div><img src=""./visual stimuli-exp/temperature/visualized_temperature_context/visualized_warm.png"" height = ""270""></div><p style=""margin: 8px 0px;"">Which thermometer do you think is showing the temperature of the water in the cup? Use the ""+"" and ""&ndash;"" buttons to distribute 10 coins across the likely thermometers.</p>",,./visual stimuli-exp/temperature/adjusted_temperature/10.png,./visual stimuli-exp/temperature/adjusted_temperature/20.png,./visual stimuli-exp/temperature/adjusted_temperature/30.png,./visual stimuli-exp/temperature/adjusted_temperature/40.png,./visual stimuli-exp/temperature/adjusted_temperature/50.png,./visual stimuli-exp/temperature/adjusted_temperature/60.png,./visual stimuli-exp/temperature/adjusted_temperature/70.png,./visual stimuli-exp/temperature/adjusted_temperature/80.png,./visual stimuli-exp/temperature/adjusted_temperature/90.png,115953,10,html-coin-betting-response,,warm
47,Condition 1,0.0-7.0-0.0,,0,0,0,1,4,5,0,0,0,10150,"<div><img src=""./visual stimuli-exp/grades/visualized_grades_context/visualized_good.png"" height = ""330""></div><p style=""margin: 8px 0px;"">Which examination sheet do you think is on the desk? Use the ""+"" and ""&ndash;"" buttons to distribute 10 coins across the likely examination sheets.</p>",,./visual stimuli-exp/grades/adjusted_grades/30_wrong.png,./visual stimuli-exp/grades/adjusted_grades/13_wrong.png,./visual stimuli-exp/grades/adjusted_grades/11_wrong.png,./visual stimuli-exp/grades/adjusted_grades/9_wrong.png,./visual stimuli-exp/grades/adjusted_grades/7_wrong.png,./visual stimuli-exp/grades/adjusted_grades/5_wrong.png,./visual stimuli-exp/grades/adjusted_grades/3_wrong.png,./visual stimuli-exp/grades/adjusted_grades/1_wrong.png,./visual stimuli-exp/grades/adjusted_grades/0_wrong.png,131820,12,html-coin-betting-response,,good
47,Condition 1,0.0-7.0-0.1,,0,0,0,0,0,0,0,0,10,5918,"<div><img src=""./visual stimuli-exp/grades/visualized_grades_context/visualized_perfect.png"" height = ""330""></div><p style=""margin: 8px 0px;"">Which examination sheet do you think is on the desk? Use the ""+"" and ""&ndash;"" buttons to distribute 10 coins across the likely examination sheets.</p>",,./visual stimuli-exp/grades/adjusted_grades/30_wrong.png,./visual stimuli-exp/grades/adjusted_grades/13_wrong.png,./visual stimuli-exp/grades/adjusted_grades/11_wrong.png,./visual stimuli-exp/grades/adjusted_grades/9_wrong.png,./visual stimuli-exp/grades/adjusted_grades/7_wrong.png,./visual stimuli-exp/grades/adjusted_grades/5_wrong.png,./visual stimuli-exp/grades/adjusted_grades/3_wrong.png,./visual stimuli-exp/grades/adjusted_grades/1_wrong.png,./visual stimuli-exp/grades/adjusted_grades/0_wrong.png,137740,13,html-coin-betting-response,,perfect
47,Condition 1,0.0-7.0-0.2,,0,0,0,0,0,0,5,5,0,5321,"<div><img src=""./visual stimuli-exp/grades/visualized_grades_context/visualized_excellent.png"" height = ""330""></div><p style=""margin: 8px 0px;"">Which examination sheet do you think is on the desk? Use the ""+"" and ""&ndash;"" buttons to distribute 10 coins across the likely examination sheets.</p>",,./visual stimuli-exp/grades/adjusted_grades/30_wrong.png,./visual stimuli-exp/grades/adjusted_grades/13_wrong.png,./visual stimuli-exp/grades/adjusted_grades/11_wrong.png,./visual stimuli-exp/grades/adjusted_grades/9_wrong.png,./visual stimuli-exp/grades/adjusted_grades/7_wrong.png,./visual stimuli-exp/grades/adjusted_grades/5_wrong.png,./visual stimuli-exp/grades/adjusted_grades/3_wrong.png,./visual stimuli-exp/grades/adjusted_grades/1_wrong.png,./visual stimuli-exp/grades/adjusted_grades/0_wrong.png,143062,14,html-coin-betting-response,,excellent
47,Condition 1,0.0-7.0-0.3,,0,0,0,0,0,0,0,0,10,8697,"<div><img src=""./visual stimuli-exp/grades/visualized_grades_context/visualized_perfect.png"" height = ""330""></div><p style=""margin: 8px 0px;"">Which examination sheet do you think is on the desk? Use the ""+"" and ""&ndash;"" buttons to distribute 10 coins across the likely examination sheets.</p>",,./visual stimuli-exp/grades/adjusted_grades/30_wrong.png,./visual stimuli-exp/grades/adjusted_grades/13_wrong.png,./visual stimuli-exp/grades/adjusted_grades/11_wrong.png,./visual stimuli-exp/grades/adjusted_grades/9_wrong.png,./visual stimuli-exp/grades/adjusted_grades/7_wrong.png,./visual stimuli-exp/grades/adjusted_grades/5_wrong.png,./visual stimuli-exp/grades/adjusted_grades/3_wrong.png,./visual stimuli-exp/grades/adjusted_grades/1_wrong.png,./visual stimuli-exp/grades/adjusted_grades/0_wrong.png,151759,15,html-coin-betting-response,,perfect
